Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Matches,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
391,Andrea Pinamonti,it ITA,FWD,Genoa,20,1999,15.5,2,0,0,32,9,1,28.1,2.06,0.58,0.06,0.22,3.6,3.6,0.11,-1.6,-1.6,Matches,1,0.6,+0.4,11,266,356,74.7,14,28,50.0,224,284,78.9,28,44,63.6,37,258,1,2,0,0,11,4,1
392,Simone Pinna,it ITA,DEF,Cagliari,21,1997,1.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.1,-0.1,2,64,78,82.1,2,2,100.0,41,47,87.2,21,29,72.4,9,59,0,0,0,8,11,2,1
393,Fabio Pisacane,it ITA,DEF,Cagliari,33,1986,20.6,1,0,0,5,1,0,20.0,0.24,0.05,0.20,1.00,0.2,0.2,0.04,+0.8,+0.8,Matches,0,0.3,-0.3,5,694,787,88.2,1,9,11.1,456,490,93.1,237,288,82.3,155,571,13,0,0,10,14,2,0
394,Miralem Pjanić,ba BIH,MID,Juventus,29,1990,19.3,3,0,0,19,5,6,26.3,0.98,0.26,0.16,0.60,0.8,0.8,0.04,+2.2,+2.2,Matches,2,1.7,+0.3,25,1332,1523,87.5,29,53,54.7,1075,1150,93.5,228,320,71.3,127,1353,88,4,42,2,152,18,1
395,Andrea Poli,it ITA,MID,Bologna,29,1989,18.2,2,0,0,23,7,0,30.4,1.26,0.38,0.09,0.29,2.1,2.1,0.09,-0.1,-0.1,Matches,0,1.0,-1.0,13,790,887,89.1,19,27,70.4,639,693,92.2,132,167,79.0,98,753,26,5,1,4,96,14,2
396,Matteo Politano,it ITA,FWD,Napoli,25,1993,2.1,0,0,0,4,0,0,0.0,1.95,0.00,0.00,0,0.1,0.1,0.04,-0.1,-0.1,Matches,0,0.3,-0.3,5,88,109,80.7,2,5,40.0,68,76,89.5,18,28,64.3,88,19,2,1,6,1,6,3,0
397,Matteo Politano,it ITA,FWD,Inter,25,1993,2.8,0,0,0,16,4,2,25.0,5.71,1.43,0.00,0.00,0.9,0.9,0.06,-0.9,-0.9,Matches,0,0.7,-0.7,8,86,126,68.3,4,14,28.6,68,88,77.3,14,24,58.3,95,21,4,0,6,6,2,2,1
398,Erick Pulgar,cl CHI,MID,Fiorentina,25,1994,23.1,4,4,4,20,4,8,20.0,0.86,0.17,0.00,0.00,4.2,1.2,0.06,-0.2,-1.2,Matches,3,4.9,-1.9,63,951,1201,79.2,32,61,52.5,659,729,90.4,260,411,63.3,82,1049,84,1,128,4,88,16,3
399,Ignacio Pussetto,ar ARG,FWD,Udinese,23,1995,3.7,1,0,0,10,4,0,40.0,2.69,1.08,0.10,0.25,0.7,0.7,0.07,+0.3,+0.3,Matches,0,0.8,-0.8,11,87,128,68.0,3,10,30.0,65,91,71.4,19,27,70.4,12,90,1,1,3,7,5,3,1
400,Fabio Quagliarella,it ITA,FWD,Sampdoria,36,1983,19.2,7,4,5,73,18,0,24.7,3.81,0.94,0.04,0.17,10.0,6.2,0.09,-3.0,-3.2,Matches,2,2.2,-0.2,23,264,394,67.0,14,34,41.2,206,270,76.3,44,90,48.9,72,278,1,5,3,1,23,11,1
