Player,Goals,PK,PK Attempts,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG 
Sebastian Rode,2,0,0,8,4,0,50.0,0.64,0.32,0.25,0.50,0.7,0.7,0.09,+1.3,+1.3
Jérôme Roussillon,1,0,0,18,4,0,22.2,0.92,0.20,0.06,0.25,0.8,0.8,0.04,+0.2,+0.2
Sebastian Rudy,1,0,0,18,5,0,27.8,0.88,0.24,0.06,0.20,0.9,0.9,0.05,+0.1,+0.1
Lukas Rupp,0,0,0,5,0,0,0.0,1.32,0.00,0.00,0,0.3,0.3,0.05,-0.3,-0.3
Julian Ryerson,0,0,0,1,0,0,0.0,0.67,0.00,0.00,0,0.5,0.5,0.54,-0.5,-0.5
Frederik Rønnow,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
João Victor Santos Sá,1,0,0,25,8,0,32.0,2.01,0.64,0.04,0.13,3.1,3.1,0.12,-2.1,-2.1
Abdelhamid Sabiri,3,1,1,23,9,7,39.1,2.95,1.15,0.09,0.22,2.1,1.4,0.06,+0.9,+0.6
Marcel Sabitzer,7,0,0,51,17,7,33.3,2.58,0.86,0.14,0.41,5.4,5.4,0.11,+1.6,+1.6
Nuri Şahin,0,0,0,11,1,2,9.1,0.79,0.07,0.00,0.00,0.3,0.3,0.03,-0.3,-0.3
Roland Sallai,0,0,0,12,3,0,25.0,2.52,0.63,0.00,0.00,0.8,0.8,0.06,-0.8,-0.8
Diadie Samassékou,0,0,0,2,0,0,0.0,0.34,0.00,0.00,0,0.1,0.1,0.04,-0.1,-0.1
Renato Sanches,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Jadon Sancho,13,0,0,38,22,0,57.9,2.12,1.23,0.34,0.59,6.0,6.0,0.16,+7.0,+7.0
Salif Sané,2,0,0,7,3,0,42.9,0.93,0.40,0.29,0.67,0.5,0.5,0.08,+1.5,+1.5
Marcelo Saracchi,1,0,0,3,1,0,33.3,1.53,0.51,0.33,1.00,0.4,0.4,0.14,+0.6,+0.6
Josh Sargent,2,0,0,15,7,0,46.7,1.79,0.84,0.13,0.29,2.2,2.2,0.15,-0.2,-0.2
Louis Schaub,1,0,0,9,5,0,55.6,1.29,0.72,0.11,0.20,0.6,0.6,0.07,+0.4,+0.4
Patrik Schick,6,0,0,24,11,0,45.8,3.21,1.47,0.25,0.55,3.2,3.2,0.13,+2.8,+2.8
Julian Schieber,0,0,0,1,1,0,100.0,2.20,2.20,0.00,0.00,0.0,0.0,0.04,0.0,0.0
Kingsley Schindler,0,0,0,13,2,0,15.4,1.46,0.22,0.00,0.00,0.9,0.9,0.07,-0.9,-0.9
Xaver Schlager,1,0,0,17,6,0,35.3,1.76,0.62,0.06,0.17,0.9,0.9,0.05,+0.1,+0.1
Keven Schlotterbeck,0,0,0,5,1,0,20.0,0.43,0.09,0.00,0.00,0.2,0.2,0.05,-0.2,-0.2
Nico Schlotterbeck,0,0,0,3,1,0,33.3,0.77,0.26,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1
Marcel Schmelzer,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Jonathan Schmid,4,0,0,29,13,8,44.8,1.39,0.62,0.14,0.31,2.5,2.5,0.09,+1.5,+1.5
Manuel Schmiedebach,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Benno Schmitz,0,0,0,1,0,0,0.0,0.19,0.00,0.00,0,0.1,0.1,0.11,-0.1,-0.1
Sebastian Schonlau,2,0,0,8,4,0,50.0,0.50,0.25,0.25,0.50,0.7,0.7,0.09,+1.3,+1.3
Alessandro Schöpf,0,0,0,9,2,0,22.2,1.71,0.38,0.00,0.00,1.0,1.0,0.11,-1.0,-1.0
Markus Schubert,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Nico Schulz,1,0,0,6,1,0,16.7,0.96,0.16,0.17,1.00,0.4,0.4,0.07,+0.6,+0.6
Alexander Schwolow,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
