Player,Goals,PK,PK Attempts,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG 
Nemanja Maksimović,1,0,0,16,6,0,37.5,0.78,0.29,0.06,0.17,1.8,1.8,0.11,-0.8,-0.8
Hugo Mallo,0,0,0,5,2,0,40.0,0.35,0.14,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1
Aïssa Mandi,0,0,0,6,1,0,16.7,0.31,0.05,0.00,0.00,0.7,0.7,0.11,-0.7,-0.7
Eliaquim Mangala,0,0,0,1,0,0,0.0,0.33,0.00,0.00,0,0.2,0.2,0.15,-0.2,-0.2
Marcelo,0,0,0,10,4,0,40.0,1.28,0.51,0.00,0.00,0.3,0.3,0.03,-0.3,-0.3
Óscar de Marcos,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
José María Giménez,0,0,0,7,2,0,28.6,0.64,0.18,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3
Adrián Marín,0,0,0,1,0,0,0.0,0.27,0.00,0.00,0,0.2,0.2,0.16,-0.2,-0.2
Guillermo Maripán,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Roger Martí,10,4,4,34,12,0,35.3,2.15,0.76,0.18,0.50,7.9,4.9,0.14,+2.1,+1.1
Daniel Martín,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Álex Martínez,0,0,0,1,0,1,0.0,6.43,0.00,0.00,0,0.1,0.1,0.05,-0.1,-0.1
Iñigo Martínez,0,0,0,19,2,3,10.5,0.90,0.10,0.00,0.00,1.0,1.0,0.05,-1.0,-1.0
Pablo Martínez,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Jordi Masip,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Jaime Mata,8,2,2,32,14,0,43.8,1.62,0.71,0.19,0.43,6.3,4.8,0.15,+1.7,+1.2
Borja Mayoral,5,0,0,25,12,0,48.0,1.69,0.81,0.20,0.42,4.9,4.9,0.20,+0.1,+0.1
Óscar Melendo,0,0,0,3,0,0,0.0,0.45,0.00,0.00,0,0.1,0.1,0.04,-0.1,-0.1
Gonzalo Melero,1,0,0,14,5,0,35.7,1.66,0.59,0.07,0.20,1.1,1.1,0.08,-0.1,-0.1
Arthur Melo,2,0,0,6,3,0,50.0,0.65,0.32,0.33,0.67,0.2,0.2,0.03,+1.8,+1.8
Brais Méndez,0,0,0,17,5,0,29.4,1.54,0.45,0.00,0.00,1.3,1.3,0.07,-1.3,-1.3
Édgar Méndez,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Ferland Mendy,0,0,0,5,1,0,20.0,0.41,0.08,0.00,0.00,0.5,0.5,0.10,-0.5,-0.5
Fran Mérida,0,0,0,10,2,0,20.0,1.00,0.20,0.00,0.00,0.3,0.3,0.03,-0.3,-0.3
Mikel Merino,2,0,0,26,5,0,19.2,1.24,0.24,0.08,0.40,1.9,1.9,0.07,+0.1,+0.1
Sabin Merino,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Roque Mesa,1,0,0,18,7,1,38.9,1.07,0.42,0.06,0.14,0.9,0.9,0.05,+0.1,+0.1
Lionel Messi,14,2,3,88,42,20,47.7,4.89,2.33,0.14,0.29,10.6,8.4,0.10,+3.4,+3.6
Míchel,1,1,1,6,1,2,16.7,0.32,0.05,0.00,0.00,1.1,0.3,0.05,-0.1,-0.3
Miguel,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Éder Militão,0,0,0,2,1,0,50.0,0.33,0.17,0.00,0.00,0.0,0.0,0.02,0.0,0.0
Santi Mina,3,0,0,36,8,1,22.2,2.59,0.57,0.08,0.38,4.6,4.6,0.13,-1.6,-1.6
Jorge Miramón,0,0,0,9,2,0,22.2,0.48,0.11,0.00,0.00,0.3,0.3,0.03,-0.3,-0.3
Luka Modrić,3,0,0,17,6,0,35.3,1.29,0.46,0.18,0.50,1.7,1.7,0.10,+1.3,+1.3
Jorge Molina,5,2,2,22,7,0,31.8,1.55,0.49,0.14,0.43,5.2,3.6,0.17,-0.2,-0.6
Jon Moncayola,1,0,0,8,1,0,12.5,0.74,0.09,0.13,1.00,0.5,0.5,0.06,+0.5,+0.5
Nacho Monreal,1,0,0,7,1,0,14.3,0.42,0.06,0.14,1.00,1.1,1.1,0.15,-0.1,-0.1
Ángel Montoro,1,0,0,11,4,1,36.4,1.12,0.41,0.09,0.25,1.1,1.1,0.10,-0.1,-0.1
Álvaro Morata,7,0,1,48,21,0,43.8,3.07,1.34,0.15,0.33,9.0,8.2,0.17,-2.0,-1.2
Alberto Moreno,0,0,0,4,1,0,25.0,0.87,0.22,0.00,0.00,0.5,0.5,0.12,-0.5,-0.5
Álex Moreno,0,0,0,16,7,0,43.8,0.94,0.41,0.00,0.00,1.0,1.0,0.07,-1.0,-1.0
Gerard Moreno,10,0,1,59,20,0,33.9,2.92,0.99,0.17,0.50,9.0,8.3,0.14,+1.0,+1.7
Manu Morlanes,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Loren Morón,8,0,0,34,11,0,32.4,2.25,0.73,0.24,0.73,6.6,6.6,0.20,+1.4,+1.4
Toni Moya,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Javi Moyano,0,0,0,2,0,0,0.0,0.13,0.00,0.00,0,0.2,0.2,0.08,-0.2,-0.2
Iker Muniain,4,0,0,18,9,0,50.0,1.16,0.58,0.22,0.44,3.5,3.5,0.20,+0.5,+0.5
Aihen Muñoz,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Javier Muñoz,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Jeison Murillo,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Nacho,0,0,0,5,0,0,0.0,0.41,0.00,0.00,0,0.1,0.1,0.02,-0.1,-0.1
Nacho,1,0,0,6,1,0,16.7,1.37,0.23,0.17,1.00,0.3,0.3,0.05,+0.7,+0.7
Naldo,0,0,0,7,0,0,0.0,0.51,0.00,0.00,0,0.3,0.3,0.04,-0.3,-0.3
