Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
30,José Arnaiz,es ESP,FWD,Osasuna,24,1995,1.3,0,0,0,5,1,0,20.0,3.95,0.79,0.00,0.00,0.3,0.3,0.07,-0.3,-0.3,0,0.1,-0.1,2,27,30,90.0,2,4,50.0,23,24,95.8,2,2,100.0,4,23,0,0,0,0,1,0,0
31,Sergio Asenjo,es ESP,GK,Villarreal,30,1989,22.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,483,669,72.2,1,1,100.0,238,240,99.2,244,428,57.0,69,481,62,1,0,0,6,0,0
32,Iago Aspas,es ESP,FWD,Celta Vigo,31,1987,24.9,9,2,3,62,25,8,40.3,2.49,1.00,0.11,0.28,9.1,6.9,0.11,-0.1,+0.1,2,2.6,-0.6,34,708,889,79.6,36,74,48.6,566,678,83.5,106,137,77.4,600,224,4,3,3,12,47,29,2
33,Roger Assalé,ci CIV,FWD,Leganés,25,1993,0.8,0,0,0,3,1,0,33.3,3.65,1.22,0.00,0.00,0.4,0.4,0.13,-0.4,-0.4,0,0.0,0.0,0,16,20,80.0,0,0,0,15,17,88.2,1,3,33.3,2,17,0,1,0,0,1,2,0
34,Miguel Atienza,es ESP,MID,Eibar,0,0,0.3,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,8,11,72.7,0,1,0.0,6,6,100.0,2,4,50.0,0,11,0,0,0,0,0,0,0
35,Ezequiel Ávila,ar ARG,FWD,Osasuna,25,1994,17.7,9,0,0,68,27,0,39.7,3.84,1.53,0.13,0.33,7.0,7.0,0.10,+2.0,+2.0,2,2.7,-0.7,21,185,323,57.3,3,21,14.3,138,222,62.2,44,80,55.0,57,176,0,2,0,2,22,12,3
36,Javier Avilés,es ESP,MID,Leganés,21,1997,0.1,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,4,9,44.4,0,2,0.0,4,7,57.1,0,0,0,0,8,0,0,0,0,1,0,0
37,Chidozie Awaziem,ng NGA,DEF,Leganés,22,1997,14.7,0,0,0,5,0,0,0.0,0.34,0.00,0.00,0,0.4,0.4,0.08,-0.4,-0.4,0,0.1,-0.1,2,386,498,77.5,13,25,52.0,252,278,90.6,121,195,62.1,63,368,31,0,0,31,32,4,1
38,Ramon Azeez,ng NGA,MID,Granada,26,1992,9.4,2,0,0,16,2,0,12.5,1.70,0.21,0.13,1.00,1.7,1.7,0.10,+0.3,+0.3,0,0.2,-0.2,3,176,222,79.3,4,12,33.3,149,181,82.3,23,29,79.3,28,164,4,0,0,0,18,2,0
39,Iddrisu Baba,gh GHA,MID,Mallorca,23,1996,21.4,0,0,0,7,1,0,14.3,0.33,0.05,0.00,0.00,0.4,0.4,0.06,-0.4,-0.4,0,0.1,-0.1,5,689,833,82.7,13,31,41.9,521,600,86.8,155,202,76.7,50,703,14,1,0,1,67,5,1
40,Carlos Bacca,co COL,FWD,Villarreal,32,1986,4.7,1,0,0,11,4,0,36.4,2.36,0.86,0.09,0.25,1.5,1.5,0.14,-0.5,-0.5,0,0.1,-0.1,2,58,78,74.4,0,4,0.0,49,61,80.3,9,13,69.2,5,56,0,0,0,0,2,1,0
41,Gareth Bale,wal WAL,FWD,Real Madrid,30,1989,11.0,2,0,0,31,12,3,38.7,2.82,1.09,0.06,0.17,3.5,3.5,0.11,-1.5,-1.5,2,1.4,+0.6,11,329,443,74.3,5,16,31.3,273,319,85.6,51,108,47.2,346,33,1,2,0,14,18,12,7
42,Mikel Balenziaga,es ESP,DEF,Athletic Bilbao,31,1988,3.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,101,135,74.8,1,4,25.0,83,101,82.2,17,30,56.7,71,16,0,0,0,32,3,2,0
43,Éver Banega,ar ARG,MID,Sevilla,31,1988,19.6,2,2,2,26,5,2,19.2,1.32,0.25,0.00,0.00,2.6,1.0,0.04,-0.6,-1.0,6,3.9,+2.1,44,1339,1615,82.9,15,44,34.1,913,1013,90.1,411,558,73.7,152,1417,83,9,82,8,180,23,5
44,Federico Barba,it ITA,DEF,Valladolid,25,1993,5.0,0,0,0,1,1,0,100.0,0.20,0.20,0.00,0.00,0.0,0.0,0.04,0.0,0.0,0,0.1,-0.1,2,146,218,67.0,1,8,12.5,116,145,80.0,29,65,44.6,142,23,5,0,0,36,20,2,1
45,Enis Bardhi,mk MKD,MID,Levante,24,1995,14.1,2,0,0,31,10,9,32.3,2.21,0.71,0.06,0.20,1.9,1.9,0.06,+0.1,+0.1,2,0.8,+1.2,12,361,504,71.6,20,46,43.5,286,346,82.7,55,112,49.1,87,388,12,3,23,3,41,8,2
46,Antonio Barragán,es ESP,DEF,Betis,32,1987,4.6,0,0,0,1,0,0,0.0,0.22,0.00,0.00,0,0.0,0.0,0.05,0.0,0.0,1,0.6,+0.4,5,216,263,82.1,3,7,42.9,179,197,90.9,34,59,57.6,30,186,5,1,0,32,15,7,1
47,Ander Barrenetxea,es ESP,MID,Real Sociedad,17,2001,1.5,1,0,0,2,1,0,50.0,1.33,0.67,0.50,1.00,0.2,0.2,0.10,+0.8,+0.8,0,0.3,-0.3,6,52,69,75.4,2,5,40.0,44,50,88.0,6,14,42.9,11,55,1,1,0,2,4,2,0
