Rk,Player,Position,Squad,90s,Assists,xA,Assists-xA,KeyPasses,Total Completed Passes,Total Attempted Passes,Total Pass Completion %,Short Completed Passes,Short Attempted Passes,Short Pass Completion %,Medium Completed Passes,Medium Attempted Passes,Medium Pass Completion %,Long Completed Passes,Long Attempted Passes,Long Pass Completion %,Through Ball Passes,Corner Kicks,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
426,James Tarkowski,DEF,Burnley,26.0,1,1.0,0.0,7,601,821,73.2,6,21,28.6,346,427,81.0,249,373,66.8,0,0,44,6,0
427,Charlie Taylor,DEF,Burnley,12.3,0,0.6,-0.6,9,415,594,69.9,6,31,19.4,322,387,83.2,87,176,49.4,0,0,27,13,12
428,Neil Taylor,DEF,Aston Villa,8.8,0,0.1,-0.1,1,297,375,79.2,5,16,31.3,253,286,88.5,39,73,53.4,0,0,14,1,0
429,Alexander Tettey,MID,Norwich City,17.2,1,0.8,+0.2,5,717,816,87.9,10,21,47.6,585,644,90.8,122,151,80.8,1,0,34,3,0
430,Youri Tielemans,MID,Leicester City,22.6,5,3.6,+1.4,33,1016,1257,80.8,24,43,55.8,787,909,86.6,205,305,67.2,6,14,105,28,4
431,Kieran Tierney,DEF,Arsenal,3.3,0,0.5,-0.5,4,135,176,76.7,2,10,20.0,105,120,87.5,28,46,60.9,0,0,5,5,4
432,James Tomkins,DEF,Crystal Palace,17.6,1,0.1,+0.9,2,505,626,80.7,6,14,42.9,311,347,89.6,188,265,70.9,0,0,21,1,0
433,Fikayo Tomori,DEF,Chelsea,13.7,0,0.2,-0.2,4,920,1030,89.3,4,14,28.6,611,650,94.0,305,366,83.3,1,0,54,4,0
434,Lucas Torreira,MID,Arsenal,15.1,1,0.9,+0.1,13,712,810,87.9,9,25,36.0,512,562,91.1,191,223,85.7,0,11,41,2,0
435,Cenk Tosun,FWD,Everton,3.2,0,0.1,-0.1,4,42,62,67.7,1,3,33.3,38,50,76.0,3,9,33.3,0,0,2,3,0
436,Cenk Tosun,FWD,Crystal Palace,1.9,0,0.0,0.0,0,26,44,59.1,0,2,0.0,21,34,61.8,5,8,62.5,1,0,3,1,0
437,Andros Townsend,MID,Crystal Palace,8.8,1,1.2,-0.2,8,189,274,69.0,6,18,33.3,156,186,83.9,27,70,38.6,0,4,12,7,3
438,Adama Traoré,FWD,Wolves,21.7,7,5.4,+1.6,37,451,707,63.8,5,50,10.0,374,503,74.4,72,154,46.8,3,0,32,15,2
439,Mark Travers,GK,Bournemouth,1.0,0,0.0,0.0,0,23,32,71.9,0,0,0,12,12,100.0,11,20,55.0,0,0,0,0,0
440,Trézéguet,FWD,Aston Villa,14.0,1,0.6,+0.4,14,212,310,68.4,7,23,30.4,170,209,81.3,35,78,44.9,1,10,11,7,4
441,Leandro Trossard,FWD,Brighton,14.0,3,3.1,-0.1,28,401,568,70.6,5,30,16.7,303,388,78.1,93,150,62.0,2,9,30,20,7
442,Tom Trybull,MID,Norwich City,11.4,0,0.0,0.0,1,520,558,93.2,6,10,60.0,429,451,95.1,85,97,87.6,0,0,39,0,0
443,Axel Tuanzebe,DEF,Manchester Utd,2.1,0,0.0,0.0,0,127,141,90.1,1,3,33.3,102,110,92.7,24,28,85.7,0,0,8,0,0
444,Yan Valery,DEF,Southampton,6.2,0,0.7,-0.7,2,143,232,61.6,3,12,25.0,112,152,73.7,28,68,41.2,0,0,5,1,1
445,Jesús Vallejo,DEF,Wolves,1.8,0,0.0,0.0,0,81,104,77.9,1,1,100.0,50,59,84.7,30,44,68.2,0,0,7,1,0
446,Jamie Vardy,FWD,Leicester City,23.4,4,3.4,+0.6,14,212,311,68.2,12,35,34.3,180,238,75.6,20,38,52.6,2,0,9,9,2
447,Indiana Vassilev,FWD,Aston Villa,0.4,0,0.0,0.0,0,7,9,77.8,1,2,50.0,6,7,85.7,0,0,0,0,0,0,0,0
448,Jan Vertonghen,DEF,Tottenham,15.2,1,0.9,+0.1,3,770,910,84.6,4,19,21.1,561,615,91.2,205,276,74.3,0,0,47,0,0
449,Jannik Vestergaard,DEF,Southampton,12.4,0,0.1,-0.1,3,417,518,80.5,5,7,71.4,307,346,88.7,105,165,63.6,1,0,42,3,0
450,Rúben Vinagre,DEF,Wolves,3.8,0,0.5,-0.5,3,135,186,72.6,0,12,0.0,114,132,86.4,21,42,50.0,0,0,8,5,5
451,Mario Vrančić,MID,Norwich City,3.9,0,0.3,-0.3,6,197,247,79.8,4,8,50.0,156,173,90.2,37,66,56.1,2,0,13,2,0
452,Matěj Vydra,FWD,Burnley,1.9,1,0.0,+1.0,1,13,19,68.4,0,0,0,13,18,72.2,0,1,0.0,0,0,2,0,0
453,Theo Walcott,MID,Everton,10.7,2,1.7,+0.3,13,194,299,64.9,2,24,8.3,168,220,76.4,24,55,43.6,2,2,13,10,1
454,Kyle Walker,DEF,Manchester City,18.1,2,1.4,+0.6,10,1224,1393,87.9,10,40,25.0,880,954,92.2,334,399,83.7,2,1,150,13,0
455,Kyle Walker-Peters,DEF,Southampton,0.8,0,0.0,0.0,0,39,57,68.4,0,3,0.0,37,48,77.1,2,6,33.3,0,0,3,1,0
456,Kyle Walker-Peters,DEF,Tottenham,2.7,0,0.1,-0.1,2,183,214,85.5,1,8,12.5,156,165,94.5,26,41,63.4,0,0,12,1,0
457,Aaron Wan-Bissaka,DEF,Manchester Utd,22.9,2,2.3,-0.3,19,1147,1434,80.0,27,77,35.1,1028,1190,86.4,92,167,55.1,0,0,81,4,0
458,Victor Wanyama,MID,Tottenham,0.3,0,0.0,0.0,0,18,19,94.7,2,2,100.0,11,12,91.7,5,5,100.0,0,0,3,0,0
459,Joel Ward,DEF,Crystal Palace,14.5,0,0.1,-0.1,2,551,724,76.1,14,37,37.8,438,511,85.7,99,176,56.3,0,0,45,4,2
460,James Ward-Prowse,MID,Southampton,26.0,2,3.5,-1.5,42,919,1271,72.3,18,46,39.1,673,794,84.8,228,431,52.9,3,123,82,18,1
461,Adam Webster,DEF,Brighton,19.4,0,0.8,-0.8,8,1115,1297,86.0,6,21,28.6,749,824,90.9,360,452,79.6,1,0,54,5,1
462,Danny Welbeck,FWD,Watford,2.7,0,0.1,-0.1,2,43,54,79.6,0,1,0.0,40,48,83.3,3,5,60.0,0,0,4,2,0
463,Ashley Westwood,MID,Burnley,23.0,5,3.2,+1.8,31,819,1109,73.9,17,36,47.2,563,655,86.0,239,418,57.2,6,60,97,13,4
464,Connor Wickham,FWD,Crystal Palace,1.0,1,0.6,+0.4,2,29,44,65.9,2,5,40.0,23,32,71.9,4,7,57.1,0,0,2,0,0
465,Georginio Wijnaldum,MID,Liverpool,23.2,0,1.0,-1.0,9,1020,1124,90.7,20,38,52.6,848,908,93.4,152,178,85.4,4,0,90,17,0
466,Jetro Willems,DEF,Newcastle Utd,16.6,2,1.3,+0.7,16,408,582,70.1,6,26,23.1,321,387,82.9,81,169,47.9,0,1,30,13,5
467,Brandon Williams,DEF,Manchester Utd,7.6,0,0.3,-0.3,9,346,422,82.0,4,10,40.0,299,343,87.2,43,69,62.3,0,1,17,12,1
468,Willian,FWD,Chelsea,20.2,4,4.0,0.0,43,847,1076,78.7,22,43,51.2,649,761,85.3,176,272,64.7,4,61,54,45,5
469,Joe Willock,MID,Arsenal,6.4,0,0.5,-0.5,11,221,269,82.2,10,15,66.7,172,197,87.3,39,57,68.4,0,1,25,5,0
470,Jack Wilshere,MID,West Ham,1.9,0,0.0,0.0,0,50,59,84.7,1,2,50.0,44,49,89.8,5,8,62.5,0,0,3,0,0
471,Callum Wilson,FWD,Bournemouth,23.1,0,2.2,-2.2,21,254,379,67.0,16,48,33.3,210,289,72.7,28,42,66.7,5,0,24,10,1
472,Harry Wilson,MID,Bournemouth,15.2,0,1.5,-1.5,13,363,475,76.4,5,26,19.2,272,316,86.1,86,133,64.7,5,14,30,17,2
473,Harry Winks,MID,Tottenham,15.7,0,0.9,-0.9,12,950,1082,87.8,11,22,50.0,713,770,92.6,226,290,77.9,4,6,106,12,0
474,Chris Wood,FWD,Burnley,21.6,1,0.8,+0.2,15,244,375,65.1,15,30,50.0,209,310,67.4,20,35,57.1,0,0,8,5,0
475,Granit Xhaka,MID,Arsenal,19.2,1,0.9,+0.1,12,1159,1311,88.4,6,18,33.3,830,903,91.9,323,390,82.8,3,0,130,19,2
476,Andriy Yarmolenko,MID,West Ham,9.2,1,2.5,-1.5,13,260,324,80.2,10,18,55.6,202,232,87.1,48,74,64.9,1,1,11,6,1
477,DeAndre Yedlin,DEF,Newcastle Utd,8.6,0,0.2,-0.2,5,195,272,71.7,6,16,37.5,154,187,82.4,35,69,50.7,0,0,10,3,1
478,Maya Yoshida,DEF,Southampton,6.2,0,0.0,0.0,0,207,247,83.8,3,4,75.0,151,167,90.4,53,76,69.7,0,0,10,1,0
479,Ashley Young,DEF,Manchester Utd,10.6,0,1.2,-1.2,17,565,735,76.9,3,20,15.0,441,495,89.1,121,220,55.0,1,35,58,11,1
480,Pablo Zabaleta,DEF,West Ham,6.2,0,0.4,-0.4,4,238,312,76.3,1,13,7.7,202,237,85.2,35,62,56.5,0,0,28,3,0
481,Wilfried Zaha,MID,Crystal Palace,25.3,3,2.2,+0.8,26,670,856,78.3,15,56,26.8,563,672,83.8,92,128,71.9,0,0,37,51,8
482,Christoph Zimmermann,DEF,Norwich City,14.4,1,0.0,+1.0,0,479,585,81.9,3,10,30.0,306,331,92.4,170,244,69.7,0,0,22,1,0
483,Oleksandr Zinchenko,DEF,Manchester City,9.2,0,0.7,-0.7,12,743,824,90.2,8,16,50.0,618,666,92.8,117,142,82.4,1,1,71,18,9
484,Kurt Zouma,DEF,Chelsea,19.0,0,0.2,-0.2,1,1218,1383,88.1,3,14,21.4,777,846,91.8,438,523,83.7,0,0,73,2,0
