Rk,Player,Position,Squad,90s,Assists,xA,Assists-xA,KeyPasses,Total Completed Passes,Total Attempted Passes,Total Pass Completion %,Short Completed Passes,Short Attempted Passes,Short Pass Completion %,Medium Completed Passes,Medium Attempted Passes,Medium Pass Completion %,Long Completed Passes,Long Attempted Passes,Long Pass Completion %,Through Ball Passes,Corner Kicks,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
436,Víctor Sánchez,MID,Espanyol,15.6,1,1.0,0.0,22,648,835,77.6,13,26,50.0,484,568,85.2,151,241,62.7,0,22,56,7,2
437,Luca Sangalli,MID,Real Sociedad,3.4,1,0.3,+0.7,4,118,160,73.8,3,9,33.3,99,123,80.5,16,28,57.1,1,2,11,5,2
438,Oier Sanjurjo,MID,Osasuna,15.5,0,0.8,-0.8,10,410,555,73.9,6,26,23.1,315,383,82.2,89,146,61.0,1,0,49,3,1
439,Ivan Šaponjić,DEF,Atlético Madrid,0.0,0,0.0,0.0,0,0,2,0.0,0,0,0,0,0,0,0,2,0.0,0,1,0,0,0
440,Joan Sastre Vanrell,DEF,Mallorca,14.2,2,1.4,+0.6,14,425,624,68.1,6,27,22.2,297,382,77.7,122,215,56.7,0,0,29,13,4
441,Stefan Savić,DEF,Atlético Madrid,11.0,0,0.1,-0.1,1,374,447,83.7,5,6,83.3,257,279,92.1,112,162,69.1,1,0,23,2,0
442,Aleksandar Sedlar,DEF,Mallorca,1.8,0,0.0,0.0,0,55,62,88.7,0,1,0.0,37,40,92.5,18,21,85.7,0,0,3,0,0
443,Nélson Semedo,DEF,Barcelona,12.4,2,0.8,+1.2,4,770,859,89.6,8,28,28.6,671,725,92.6,91,106,85.8,0,1,60,15,1
444,Josep Señé,MID,Mallorca,1.5,0,0.0,0.0,1,72,76,94.7,0,0,0,51,52,98.1,21,24,87.5,0,0,3,1,1
445,Salva Sevilla,MID,Mallorca,19.0,3,3.0,0.0,43,992,1198,82.8,32,46,69.6,765,834,91.7,195,318,61.3,2,85,109,10,0
446,Sidnei,DEF,Betis,6.6,0,0.0,0.0,0,355,387,91.7,7,9,77.8,229,242,94.6,119,136,87.5,0,0,7,1,0
447,Jonathan Silva,DEF,Leganés,22.0,0,1.3,-1.3,19,663,960,69.1,13,50,26.0,502,584,86.0,148,326,45.4,3,9,55,30,22
448,Rui Silva,GK,Granada,23.0,0,0.0,0.0,1,464,832,55.8,0,0,0,174,176,98.9,290,656,44.2,1,0,20,0,0
449,Unai Simón,GK,Athletic Bilbao,21.0,0,0.0,0.0,0,411,690,59.6,0,2,0.0,118,119,99.2,293,569,51.5,0,0,9,0,0
450,Dimitris Siovas,DEF,Leganés,12.6,0,0.1,-0.1,1,374,496,75.4,5,16,31.3,228,264,86.4,141,216,65.3,1,0,31,0,0
451,Pione Sisto,FWD,Celta Vigo,7.7,0,0.4,-0.4,8,279,367,76.0,10,27,37.0,226,260,86.9,43,80,53.8,0,10,19,8,1
452,Antonio Sivera,GK,Alavés,3.0,0,0.0,0.0,0,43,83,51.8,0,0,0,16,16,100.0,27,67,40.3,0,0,1,0,0
453,Fyodor Smolov,FWD,Celta Vigo,1.9,0,0.0,0.0,0,29,42,69.0,0,2,0.0,29,39,74.4,0,1,0.0,0,0,1,0,0
454,Rubén Sobrino,FWD,Valencia,1.3,0,0.2,-0.2,3,24,33,72.7,1,4,25.0,18,22,81.8,5,7,71.4,1,0,2,1,0
455,Roberto Soldado,FWD,Granada,16.6,3,3.1,-0.1,18,247,336,73.5,9,21,42.9,206,256,80.5,32,59,54.2,0,0,10,4,0
456,Carlos Soler,MID,Valencia,12.6,0,1.0,-1.0,9,284,363,78.2,7,15,46.7,229,268,85.4,48,80,60.0,1,5,26,13,0
457,Kévin Soni,FWD,Espanyol,0.0,0,0.0,0.0,0,1,2,50.0,0,0,0,1,2,50.0,0,0,0,0,0,0,0,0
458,David Soria,GK,Getafe,24.0,0,0.0,0.0,0,291,696,41.8,0,0,0,28,29,96.6,263,667,39.4,1,0,36,1,0
459,Juan Soriano,GK,Leganés,10.0,0,0.0,0.0,0,154,278,55.4,0,0,0,63,64,98.4,91,214,42.5,0,1,2,0,0
460,Damián Suárez,DEF,Getafe,18.5,4,1.9,+2.1,21,587,933,62.9,9,33,27.3,441,572,77.1,137,328,41.8,0,51,87,21,6
461,Denis Suárez,MID,Celta Vigo,13.9,3,3.2,-0.2,35,506,664,76.2,10,36,27.8,406,469,86.6,90,159,56.6,4,48,50,28,7
462,Luis Suárez,FWD,Barcelona,14.2,7,2.8,+4.2,23,337,449,75.1,13,41,31.7,270,332,81.3,54,76,71.1,4,0,14,11,0
463,Suso,FWD,Sevilla,2.2,1,0.8,+0.2,8,86,115,74.8,1,6,16.7,72,83,86.7,13,26,50.0,6,4,8,12,1
464,Tachi,MID,Alavés,0.1,0,0.0,0.0,0,2,3,66.7,0,0,0,1,2,50.0,1,1,100.0,0,0,0,0,0
465,Rodrigo Tarín,DEF,Leganés,4.0,0,0.0,0.0,0,79,98,80.6,1,1,100.0,60,68,88.2,18,29,62.1,0,0,6,1,0
466,Álvaro Tejero,DEF,Eibar,12.3,0,0.4,-0.4,8,450,622,72.3,10,24,41.7,333,389,85.6,107,209,51.2,0,0,46,16,8
467,Cristian Tello,MID,Betis,4.4,0,0.2,-0.2,5,143,186,76.9,3,10,30.0,119,141,84.4,21,35,60.0,0,10,5,2,0
468,Marc-André ter Stegen,GK,Barcelona,23.0,2,0.7,+1.3,2,732,823,88.9,2,2,100.0,413,413,100.0,317,408,77.7,2,0,1,0,0
469,David Timor,MID,Getafe,3.5,0,0.0,0.0,1,82,129,63.6,1,3,33.3,51,78,65.4,30,48,62.5,0,3,13,2,1
470,Jean-Clair Todibo,DEF,Barcelona,0.9,0,0.0,0.0,0,50,53,94.3,1,1,100.0,37,39,94.9,12,13,92.3,0,0,2,0,0
471,Karl Toko Ekambi,FWD,Villarreal,11.1,2,1.2,+0.8,8,178,230,77.4,2,11,18.2,148,187,79.1,28,32,87.5,0,0,5,3,1
472,Raúl de Tomás,FWD,Espanyol,4.0,0,0.1,-0.1,3,71,89,79.8,2,4,50.0,54,61,88.5,15,24,62.5,0,0,3,1,0
473,Toño,DEF,Levante,11.0,2,1.3,+0.7,12,445,547,81.4,8,26,30.8,366,400,91.5,71,121,58.7,1,1,31,14,5
474,Ferrán Torres,MID,Valencia,17.9,4,3.1,+0.9,19,392,536,73.1,6,31,19.4,329,387,85.0,57,118,48.3,1,1,24,19,6
475,Óliver Torres,FWD,Sevilla,11.3,1,1.5,-0.5,10,486,599,81.1,16,34,47.1,343,389,88.2,127,176,72.2,3,4,53,15,3
476,Pau Torres,DEF,Villarreal,20.0,1,1.3,-0.3,6,977,1149,85.0,7,17,41.2,549,585,93.8,421,547,77.0,2,0,65,1,0
477,Roberto Torres,MID,Osasuna,21.0,6,3.9,+2.1,30,524,789,66.4,16,47,34.0,386,492,78.5,122,250,48.8,2,51,59,14,2
478,Aleksandar Trajkovski,MID,Mallorca,1.6,0,0.6,-0.6,6,46,70,65.7,1,5,20.0,33,44,75.0,12,21,57.1,0,7,2,1,0
479,Manu Trigueros,MID,Villarreal,10.7,4,3.6,+0.4,26,469,552,85.0,11,23,47.8,350,385,90.9,108,144,75.0,5,15,68,17,0
480,Kieran Trippier,DEF,Atlético Madrid,14.6,3,2.8,+0.2,30,599,853,70.2,10,34,29.4,466,544,85.7,123,275,44.7,2,32,37,21,3
481,Samuel Umtiti,DEF,Barcelona,8.1,0,0.0,0.0,0,594,637,93.2,7,13,53.8,440,456,96.5,147,168,87.5,0,0,50,0,0
482,Enes Ünal,FWD,Valladolid,16.0,1,1.5,-0.5,17,280,405,69.1,6,25,24.0,233,316,73.7,41,64,64.1,2,0,30,7,1
483,Tomáš Vaclík,GK,Sevilla,24.0,0,0.0,0.0,0,479,674,71.1,2,3,66.7,206,208,99.0,271,463,58.5,0,0,4,0,0
484,Álvaro Vadillo,FWD,Granada,12.9,1,1.4,-0.4,16,288,435,66.2,9,30,30.0,226,291,77.7,53,114,46.5,0,45,15,10,1
