Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Matches,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
298,Henrikh Mkhitaryan,am ARM,FWD,Arsenal,30,1989,1.2,0,0,0,2,0,0,0.0,1.62,0.00,0.00,0,0.2,0.2,0.11,-0.2,-0.2,Matches,0,0.2,-0.2,2,58,77,75.3,2,7,28.6,46,54,85.2,10,16,62.5,20,52,1,2,2,1,3,2,0
299,Nacho Monreal,es ESP,DEF,Arsenal,33,1986,3.0,0,0,0,1,0,0,0.0,0.33,0.00,0.00,0,0.1,0.1,0.08,-0.1,-0.1,Matches,0,0.3,-0.3,3,182,201,90.5,4,6,66.7,167,177,94.4,11,18,61.1,162,11,1,0,0,25,8,0,0
300,Martín Montoya,es ESP,DEF,Brighton,28,1991,17.1,0,0,0,8,3,0,37.5,0.47,0.17,0.00,0.00,1.3,1.3,0.16,-1.3,-1.3,Matches,1,1.3,-0.3,16,826,1031,80.1,11,41,26.8,679,782,86.8,136,208,65.4,110,688,10,0,1,185,32,16,4
301,Simon Moore,eng ENG,GK,Sheffield Utd,29,1990,1.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.0,0.0,0,6,22,27.3,0,0,0,2,2,100.0,4,20,20.0,3,12,5,0,0,0,0,0,0
302,Aaron Mooy,au AUS,MID,Brighton,28,1990,16.4,2,0,0,26,6,0,23.1,1.58,0.37,0.08,0.33,1.8,1.8,0.07,+0.2,+0.2,Matches,1,2.0,-1.0,28,597,793,75.3,14,45,31.1,483,551,87.7,100,197,50.8,134,626,17,2,40,6,60,17,2
303,Wesley Moraes,br BRA,FWD,Aston Villa,22,1996,19.9,5,0,1,35,17,0,48.6,1.76,0.85,0.14,0.29,5.2,4.4,0.14,-0.2,+0.6,Matches,1,0.9,+0.1,11,277,377,73.5,11,25,44.0,229,302,75.8,37,50,74.0,16,282,0,0,0,2,20,2,0
304,Wes Morgan,jm JAM,DEF,Leicester City,35,1984,1.8,0,0,0,1,1,0,100.0,0.57,0.57,0.00,0.00,0.0,0.0,0.05,0.0,0.0,Matches,0,0.0,0.0,0,71,81,87.7,0,1,0.0,54,56,96.4,17,24,70.8,9,70,1,0,0,0,1,0,0
305,Ravel Morrison,eng ENG,MID,Sheffield Utd,26,1993,0.1,0,0,0,1,0,0,0.0,7.50,0.00,0.00,0,0.0,0.0,0.04,0.0,0.0,Matches,0,0.0,0.0,0,4,6,66.7,0,1,0.0,4,5,80.0,0,0,0,1,5,0,0,0,0,2,0,0
306,Mason Mount,eng ENG,MID,Chelsea,20,1999,23.9,5,0,0,63,22,10,34.9,2.63,0.92,0.08,0.23,5.5,5.5,0.09,-0.5,-0.5,Matches,4,3.3,+0.7,42,780,979,79.7,36,69,52.2,633,716,88.4,111,194,57.2,113,829,41,2,70,6,59,28,5
307,Lucas Moura,br BRA,FWD,Tottenham,26,1992,17.2,4,0,0,41,11,0,26.8,2.38,0.64,0.10,0.36,5.2,5.2,0.13,-1.2,-1.2,Matches,2,1.6,+0.4,23,391,524,74.6,12,36,33.3,345,416,82.9,34,72,47.2,52,421,5,2,4,1,28,16,0
308,Lys Mousset,fr FRA,FWD,Sheffield Utd,23,1996,11.3,5,0,0,31,8,0,25.8,2.74,0.71,0.16,0.63,3.3,3.3,0.11,+1.7,+1.7,Matches,4,2.4,+1.6,11,160,205,78.0,5,15,33.3,144,173,83.2,11,17,64.7,21,162,0,1,0,1,8,3,0
309,João Moutinho,pt POR,MID,Wolves,32,1986,25.1,1,0,0,18,6,4,33.3,0.72,0.24,0.06,0.17,0.7,0.7,0.04,+0.3,+0.3,Matches,6,4.9,+1.1,63,1179,1486,79.3,12,41,29.3,776,877,88.5,391,568,68.8,94,1303,106,6,127,3,120,23,7
310,Glenn Murray,eng ENG,FWD,Brighton,35,1983,7.6,1,0,0,13,4,0,30.8,1.72,0.53,0.08,0.25,1.9,1.9,0.15,-0.9,-0.9,Matches,0,0.4,-0.4,2,103,156,66.0,5,14,35.7,86,116,74.1,12,26,46.2,15,105,1,1,0,2,7,2,0
311,Shkodran Mustafi,de GER,DEF,Arsenal,27,1992,6.9,0,0,0,7,1,0,14.3,1.02,0.15,0.00,0.00,0.7,0.7,0.09,-0.7,-0.7,Matches,1,0.0,+1.0,0,343,410,83.7,1,9,11.1,197,223,88.3,145,178,81.5,14,356,7,0,0,0,30,0,0
312,Yoshinori Mutō,jp JPN,FWD,Newcastle Utd,27,1992,2.2,0,0,0,1,0,0,0.0,0.45,0.00,0.00,0,0.1,0.1,0.09,-0.1,-0.1,Matches,0,0.1,-0.1,2,25,29,86.2,1,2,50.0,21,23,91.3,3,4,75.0,10,18,1,0,0,0,1,2,1
313,Georges-Kévin N'Koudou,fr FRA,FWD,Tottenham,24,1995,0.0,0,0,0,1,0,0,0.0,45.00,0.00,0.00,0,0.0,0.0,0.02,0.0,0.0,Matches,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,Marvelous Nakamba,zw ZIM,MID,Aston Villa,25,1994,17.2,0,0,0,7,1,0,14.3,0.41,0.06,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches,0,0.5,-0.5,11,570,676,84.3,10,23,43.5,438,499,87.8,122,154,79.2,540,90,18,0,0,3,27,4,0
315,Wilfred Ndidi,ng NGA,MID,Leicester City,22,1996,19.8,2,0,0,18,2,0,11.1,0.91,0.10,0.11,1.00,1.3,1.3,0.07,+0.7,+0.7,Matches,1,0.4,+0.6,8,906,1052,86.1,20,34,58.8,679,755,89.9,207,263,78.7,114,855,14,1,0,0,85,2,0
316,Tanguy Ndombele,fr FRA,MID,Tottenham,22,1996,9.8,2,0,0,9,4,0,44.4,0.92,0.41,0.22,0.50,0.4,0.4,0.04,+1.6,+1.6,Matches,2,1.3,+0.7,13,439,520,84.4,15,26,57.7,350,397,88.2,74,97,76.3,48,461,13,0,5,0,42,10,0
317,Reiss Nelson,eng ENG,FWD,Arsenal,19,1999,4.9,0,0,0,8,3,0,37.5,1.64,0.62,0.00,0.00,0.6,0.6,0.07,-0.6,-0.6,Matches,0,0.3,-0.3,6,144,180,80.0,4,13,30.8,119,136,87.5,21,31,67.7,23,154,3,1,9,1,8,2,0
318,Pedro Neto,pt POR,FWD,Wolves,19,2000,7.9,2,0,0,13,4,0,30.8,1.65,0.51,0.15,0.50,1.4,1.4,0.10,+0.6,+0.6,Matches,2,2.1,-0.1,11,215,290,74.1,9,30,30.0,172,208,82.7,34,52,65.4,221,47,4,0,7,2,11,4,1
319,Rúben Neves,pt POR,MID,Wolves,22,1997,23.6,2,0,0,44,8,5,18.2,1.86,0.34,0.05,0.25,1.1,1.1,0.03,+0.9,+0.9,Matches,1,1.2,-0.2,16,1039,1318,78.8,6,22,27.3,624,725,86.1,409,571,71.6,105,1123,31,3,9,4,127,18,2
320,Jeremy Ngakia,eng ENG,DEF,West Ham,18,2000,2.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.0,0.0,0,32,58,55.2,0,2,0.0,29,39,74.4,3,17,17.6,8,29,0,0,0,17,0,1,1
321,Oumar Niasse,sn SEN,FWD,Everton,29,1990,0.2,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.0,0.0,0,3,5,60.0,0,0,0,3,4,75.0,0,1,0.0,1,3,0,0,0,0,0,0,0
322,Eddie Nketiah,eng ENG,FWD,Arsenal,20,1999,2.1,1,0,0,6,2,0,33.3,2.81,0.94,0.17,0.50,1.1,1.1,0.19,-0.1,-0.1,Matches,0,0.1,-0.1,1,33,41,80.5,0,3,0.0,30,35,85.7,3,3,100.0,4,36,0,0,0,0,1,0,0
