Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box,CrdY,CrdR,2CrdY,FoulsCommitted,FoulsDrawn,Offsides,Crosses,SuccessfulTackles,Interceptions,PKwon,PKcon,OG,SuccessfulDribbles,AttemptedDribbles,SuccessfulDribbles%,PlayersDribbledPast,Nutmegs,DribblersTackled,DribblesContested,%DribblersTackled,DribbledPastByOpponent
187,Bruno Ecuele Manga,ga GAB,DEF,Dijon,31,1988,26.0,0,0,0,17,0,0,0.0,0.65,0.00,0.00,0,1.2,1.2,0.07,-1.2,-1.2,0,0.1,-0.1,4,1061,1221,86.9,5,16,31.3,654,712,91.9,402,493,81.5,161,966,41,0,0,6,40,3,0,2,0,0,10,14,0,2,19,39,0,0,0,6,9,66.7,6,0,25,39,64.1,14
188,Renaud Emond,be BEL,FWD,Nantes,27,1991,2.9,0,0,0,3,1,0,33.3,1.04,0.35,0.00,0.00,0.8,0.8,0.25,-0.8,-0.8,0,0.1,-0.1,2,45,67,67.2,1,6,16.7,38,49,77.6,6,12,50.0,8,38,0,0,0,1,4,0,0,1,0,0,4,6,0,0,4,0,0,0,0,2,4,50.0,2,0,5,6,83.3,1
189,Fábio,br BRA,DEF,Nantes,29,1990,9.3,0,0,0,4,0,0,0.0,0.43,0.00,0.00,0,0.1,0.1,0.03,-0.1,-0.1,0,0.3,-0.3,6,424,521,81.4,12,27,44.4,357,408,87.5,55,86,64.0,71,321,5,0,0,101,28,3,1,4,0,0,12,3,0,20,24,16,0,0,0,6,6,100.0,6,0,37,55,67.3,18
190,Cesc Fàbregas,es ESP,MID,Monaco,32,1987,9.6,0,0,0,8,1,1,12.5,0.84,0.10,0.00,0.00,0.4,0.4,0.05,-0.4,-0.4,3,2.5,+0.5,23,574,709,81.0,14,26,53.8,442,498,88.8,118,185,63.8,73,603,33,3,21,6,74,17,1,0,1,0,11,8,1,29,5,8,0,0,0,4,6,66.7,4,0,8,25,32.0,17
191,Julien Faussurier,fr FRA,DEF,Brest,32,1987,22.0,2,0,0,10,5,0,50.0,0.45,0.23,0.20,0.40,0.6,0.6,0.06,+1.4,+1.4,3,1.8,+1.2,28,921,1273,72.3,12,45,26.7,687,812,84.6,222,416,53.4,87,854,25,1,6,262,64,18,3,1,0,0,17,16,2,79,28,32,0,0,0,6,18,33.3,6,1,40,84,47.6,44
192,Zinedine Ferhat,dz ALG,FWD,Nîmes,26,1993,24.0,3,0,0,45,13,3,28.9,1.88,0.54,0.07,0.23,3.3,3.3,0.07,-0.3,-0.3,4,4.9,-0.9,49,576,911,63.2,16,63,25.4,441,589,74.9,119,259,45.9,55,739,47,3,61,13,47,21,5,1,0,0,17,52,7,163,14,16,0,0,0,53,104,51.0,54,3,24,60,40.0,36
193,Juan Ferney Otero,co COL,FWD,Amiens,24,1995,12.9,1,0,0,18,6,1,33.3,1.40,0.47,0.06,0.17,1.6,1.6,0.09,-0.6,-0.6,2,2.0,0.0,10,225,342,65.8,8,28,28.6,192,253,75.9,25,61,41.0,44,236,3,0,5,9,17,6,1,0,1,0,19,18,6,36,11,18,1,0,0,14,41,34.1,16,0,15,35,42.9,20
194,Jordan Ferri,fr FRA,MID,Montpellier,27,1992,11.8,0,0,0,11,4,0,36.4,0.93,0.34,0.00,0.00,0.6,0.6,0.05,-0.6,-0.6,0,0.8,-0.8,18,555,683,81.3,8,28,28.6,419,474,88.4,128,181,70.7,51,587,28,1,8,4,61,6,1,1,1,0,20,27,0,30,17,9,0,0,0,21,31,67.7,21,1,28,64,43.8,36
195,Mamadou Fofana,ml MLI,DEF,Metz,21,1998,17.6,0,0,0,10,0,0,0.0,0.57,0.00,0.00,0,0.4,0.4,0.04,-0.4,-0.4,0,0.1,-0.1,4,645,738,87.4,6,10,60.0,460,500,92.0,179,228,78.5,146,555,17,0,0,1,24,1,0,4,0,0,20,4,0,1,36,27,0,1,0,5,6,83.3,5,1,56,78,71.8,22
196,Wesley Fofana,fr FRA,DEF,Saint-Étienne,18,2000,11.5,1,0,0,6,1,0,16.7,0.52,0.09,0.17,1.00,0.8,0.8,0.13,+0.2,+0.2,0,0.0,0.0,1,447,533,83.9,7,14,50.0,312,353,88.4,128,166,77.1,56,416,21,0,0,10,21,0,0,4,0,0,13,13,0,2,13,37,0,0,0,5,6,83.3,5,0,25,33,75.8,8
197,Youssouf Fofana,fr FRA,MID,Strasbourg,20,1999,11.2,1,0,0,15,4,0,26.7,1.34,0.36,0.07,0.25,0.9,0.9,0.06,+0.1,+0.1,0,0.5,-0.5,8,381,443,86.0,6,17,35.3,291,322,90.4,84,104,80.8,77,339,0,1,0,1,39,5,1,0,0,0,11,6,1,8,14,15,0,0,0,11,20,55.0,12,2,23,46,50.0,23
198,Youssouf Fofana,fr FRA,MID,Monaco,20,1999,4.8,0,0,0,4,2,0,50.0,0.83,0.42,0.00,0.00,0.2,0.2,0.06,-0.2,-0.2,2,0.5,+1.5,3,219,253,86.6,2,10,20.0,161,171,94.2,56,72,77.8,43,196,1,1,0,2,25,4,0,1,0,0,8,5,1,4,9,5,0,0,0,6,13,46.2,8,1,10,17,58.8,7
199,Thomas Foket,be BEL,DEF,Reims,24,1994,25.0,0,0,0,7,0,0,0.0,0.28,0.00,0.00,0,0.6,0.6,0.09,-0.6,-0.6,1,1.2,-0.2,20,970,1206,80.4,15,50,30.0,754,874,86.3,201,282,71.3,74,810,15,0,0,261,51,12,4,2,0,0,24,29,0,40,36,42,0,0,0,14,28,50.0,15,0,54,72,75.0,18
200,Lamine Fomba,fr FRA,MID,Nîmes,21,1998,15.3,0,0,0,14,3,0,21.4,0.92,0.20,0.00,0.00,1.1,1.1,0.08,-1.1,-1.1,0,0.5,-0.5,7,299,425,70.4,8,30,26.7,239,313,76.4,52,82,63.4,84,263,2,2,0,1,20,4,0,5,0,0,44,9,0,6,31,25,0,0,0,19,32,59.4,23,0,54,82,65.9,28
201,José Fonte,pt POR,DEF,Lille,35,1983,22.5,1,0,0,17,5,0,29.4,0.76,0.22,0.06,0.20,1.8,1.8,0.10,-0.8,-0.8,1,0.6,+0.4,5,1185,1334,88.8,8,17,47.1,791,839,94.3,386,478,80.8,140,1109,45,1,0,5,55,3,0,3,0,0,15,14,0,3,14,24,0,2,0,4,5,80.0,5,0,25,39,64.1,14
202,Lyle Foster,za RSA,FWD,Monaco,18,2000,0.7,0,0,0,2,0,0,0.0,2.95,0.00,0.00,0,0.2,0.2,0.12,-0.2,-0.2,0,0.0,0.0,0,11,14,78.6,0,0,0,10,13,76.9,1,1,100.0,1,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,50.0,1,0,0,1,0.0,1
203,Angelo Fulgini,fr FRA,MID,Angers,22,1996,15.6,1,0,0,32,14,0,43.8,2.05,0.90,0.03,0.07,3.1,3.1,0.10,-2.1,-2.1,1,2.3,-1.3,29,669,833,80.3,16,46,34.8,535,611,87.6,118,176,67.0,73,715,28,0,38,8,66,20,4,3,1,1,25,48,1,58,23,15,0,0,0,56,75,74.7,57,12,31,48,64.6,17
204,Ruben Gabrielsen,no NOR,DEF,Toulouse,27,1992,5.3,0,0,0,4,1,0,25.0,0.76,0.19,0.00,0.00,0.4,0.4,0.09,-0.4,-0.4,0,0.0,0.0,1,163,193,84.5,2,3,66.7,111,122,91.0,50,68,73.5,5,178,2,0,0,0,6,1,0,0,1,0,5,3,0,0,5,4,0,0,0,1,1,100.0,1,0,6,9,66.7,3
205,Nicolás Gaitán,ar ARG,MID,Lille,31,1988,0.3,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,11,17,64.7,0,1,0.0,9,12,75.0,2,4,50.0,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2,100.0,2,0,2,2,100.0,0
206,Marvin Gakpa,fr FRA,MID,Metz,25,1993,5.1,0,0,0,13,2,2,15.4,2.53,0.39,0.00,0.00,0.5,0.5,0.04,-0.5,-0.5,0,0.6,-0.6,9,190,257,73.9,3,6,50.0,145,172,84.3,42,79,53.2,226,18,14,0,11,3,28,2,1,0,0,0,5,2,0,23,7,3,0,0,0,7,14,50.0,7,1,9,14,64.3,5
207,Idrissa Gana Gueye,sn SEN,MID,Paris S-G,29,1989,17.4,1,0,0,11,3,0,27.3,0.63,0.17,0.09,0.33,1.2,1.2,0.11,-0.2,-0.2,2,2.5,-0.5,24,1375,1490,92.3,15,37,40.5,1161,1232,94.2,199,221,90.0,127,1330,18,1,0,0,132,13,0,2,0,0,36,20,1,7,44,29,0,0,0,22,33,66.7,22,3,71,98,72.4,27
