Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box,CrdY,CrdR,2CrdY,FoulsCommitted,FoulsDrawn,Offsides,Crosses,SuccessfulTackles,Interceptions,PKwon,PKcon,OG,SuccessfulDribbles,AttemptedDribbles,SuccessfulDribbles%,PlayersDribbledPast,Nutmegs,DribblersTackled,DribblesContested,%DribblersTackled,DribbledPastByOpponent
277,Efthimis Koulouris,gr GRE,FWD,Toulouse,23,1996,16.1,4,0,0,38,15,0,39.5,2.37,0.93,0.11,0.27,4.3,4.3,0.11,-0.3,-0.3,1,1.0,0.0,16,329,449,73.3,17,41,41.5,278,356,78.1,34,52,65.4,74,311,0,0,0,2,15,6,1,0,0,0,13,12,4,12,5,2,0,0,0,10,19,52.6,10,0,9,20,45.0,11
278,Rene Krhin,si SVN,DEF,Nantes,29,1990,3.6,0,0,0,1,0,0,0.0,0.28,0.00,0.00,0,0.0,0.0,0.03,0.0,0.0,0,0.0,0.0,0,137,156,87.8,0,1,0.0,103,114,90.4,34,41,82.9,13,124,5,0,0,0,1,0,0,0,0,0,2,3,0,0,3,6,0,1,0,0,0,,0,0,4,9,44.4,5
279,Layvin Kurzawa,fr FRA,DEF,Paris S-G,26,1992,9.5,1,0,0,6,3,0,50.0,0.63,0.32,0.17,0.33,0.6,0.6,0.11,+0.4,+0.4,0,0.2,-0.2,2,605,671,90.2,20,31,64.5,535,573,93.4,50,67,74.6,524,53,6,1,0,65,36,8,2,4,0,0,20,7,1,21,9,17,1,0,0,11,17,64.7,11,0,22,37,59.5,15
280,Dereck Kutesa,ch SUI,FWD,Reims,21,1997,5.6,1,0,0,3,2,0,66.7,0.54,0.36,0.33,0.50,0.2,0.2,0.07,+0.8,+0.8,0,0.3,-0.3,4,111,151,73.5,2,12,16.7,95,118,80.5,14,21,66.7,20,122,0,0,0,1,7,9,1,0,0,0,5,5,2,6,7,0,0,0,0,15,27,55.6,16,0,8,16,50.0,8
281,Enock Kwateng,fr FRA,DEF,Bordeaux,22,1997,9.9,0,0,0,4,2,0,50.0,0.40,0.20,0.00,0.00,0.3,0.3,0.08,-0.3,-0.3,1,0.3,+0.7,6,427,557,76.7,3,14,21.4,368,434,84.8,56,109,51.4,38,402,17,0,0,74,22,9,3,3,0,0,19,11,0,24,20,20,0,0,0,8,12,66.7,9,0,35,59,59.3,24
282,Gaëtan Laborde,fr FRA,FWD,Montpellier,25,1994,23.2,5,0,0,52,18,0,34.6,2.24,0.78,0.10,0.28,7.0,7.0,0.14,-2.0,-2.0,4,2.4,+1.6,19,398,611,65.1,15,52,28.8,341,478,71.3,42,81,51.9,274,198,0,3,0,2,26,11,1,1,0,0,41,29,7,32,17,7,1,0,0,27,69,39.1,31,2,22,45,48.9,23
283,Alban Lafont,fr FRA,GK,Nantes,20,1999,25.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.1,-0.1,2,521,837,62.2,0,4,0.0,256,258,99.2,265,575,46.1,33,649,74,0,0,0,13,1,1,2,0,0,2,2,0,0,0,0,0,2,0,0,0,,0,0,0,0,,0
284,Jack Lahne,se SWE,FWD,Amiens,17,2001,0.1,1,0,0,1,1,0,100.0,11.25,11.25,1.00,1.00,0.3,0.3,0.35,+0.7,+0.7,0,0.0,0.0,0,1,1,100.0,0,0,0,1,1,100.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,1,1,100.0,0
285,Kenny Lala,fr FRA,DEF,Strasbourg,27,1991,21.7,2,2,2,13,4,4,30.8,0.60,0.18,0.00,0.00,2.8,1.3,0.10,-0.8,-1.3,1,2.5,-1.5,29,959,1274,75.3,8,41,19.5,613,722,84.9,338,511,66.1,144,888,49,1,39,206,91,24,7,1,0,0,17,18,2,122,26,18,0,0,0,42,66,63.6,46,2,41,53,77.4,12
286,Loïck Landre,fr FRA,DEF,Nîmes,27,1992,9.3,1,0,0,5,2,0,40.0,0.54,0.21,0.20,0.50,1.0,1.0,0.20,0.0,0.0,0,0.0,0.0,1,279,345,80.9,2,5,40.0,179,203,88.2,98,137,71.5,55,270,15,0,0,1,19,1,0,2,0,0,10,11,1,0,9,15,0,0,0,0,0,,0,0,15,21,71.4,6
287,Gautier Larsonneur,fr FRA,GK,Brest,22,1997,24.6,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,667,953,70.0,5,5,100.0,294,298,98.7,368,650,56.6,31,715,55,0,0,1,10,0,0,2,0,0,2,4,0,0,0,4,0,1,0,3,3,100.0,3,0,0,4,0.0,4
288,Paul Lasne,fr FRA,MID,Brest,30,1989,12.9,2,0,0,14,5,0,35.7,1.09,0.39,0.14,0.40,1.0,1.0,0.07,+1.0,+1.0,1,1.4,-0.4,15,518,630,82.2,16,34,47.1,419,476,88.0,83,120,69.2,279,310,3,1,1,1,45,13,3,1,0,0,15,12,1,11,17,7,0,0,0,7,8,87.5,7,0,24,41,58.5,17
289,Wesley Lautoa,nc NCL,DEF,Dijon,31,1987,19.0,0,0,0,9,0,0,0.0,0.47,0.00,0.00,0,0.6,0.6,0.07,-0.6,-0.6,1,0.3,+0.7,7,807,919,87.8,9,26,34.6,527,576,91.5,271,317,85.5,690,181,33,1,0,2,55,4,0,3,0,0,21,26,1,2,39,33,0,0,0,10,14,71.4,10,1,55,101,54.5,46
290,Mickaël Le Bihan,fr FRA,FWD,Nice,29,1990,1.1,0,0,0,2,0,0,0.0,1.82,0.00,0.00,0,0.1,0.1,0.04,-0.1,-0.1,1,0.1,+0.9,1,18,23,78.3,1,3,33.3,16,17,94.1,1,3,33.3,5,17,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,0
291,Damien Le Tallec,fr FRA,MID,Montpellier,29,1990,25.4,2,0,0,16,7,0,43.8,0.63,0.28,0.13,0.29,1.0,1.0,0.06,+1.0,+1.0,0,0.7,-0.7,11,748,933,80.2,16,25,64.0,536,632,84.8,196,276,71.0,61,759,39,2,0,4,80,6,2,2,0,0,35,19,0,7,34,38,0,0,0,4,7,57.1,4,1,50,98,51.0,48
292,James Lea Siliki,fr FRA,MID,Rennes,23,1996,11.2,0,0,0,14,3,1,21.4,1.25,0.27,0.00,0.00,1.1,1.1,0.08,-1.1,-1.1,0,0.9,-0.9,8,303,401,75.6,8,17,47.1,233,272,85.7,62,112,55.4,276,99,17,2,0,2,26,3,2,3,0,0,31,33,0,18,18,11,0,0,0,8,15,53.3,10,0,26,43,60.5,17
293,Adrien Lebeau,fr FRA,MID,Strasbourg,20,1999,0.1,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,3,6,50.0,0,1,0.0,3,4,75.0,0,1,0.0,1,5,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,100.0,1,0,0,1,0.0,1
294,Benjamin Lecomte,fr FRA,GK,Monaco,28,1991,26.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,565,776,72.8,2,3,66.7,261,266,98.1,302,507,59.6,407,199,77,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,1,0.0,1
295,Pierre Lees-Melou,fr FRA,MID,Nice,26,1993,23.0,5,0,0,50,20,0,40.0,2.17,0.87,0.10,0.25,3.3,3.3,0.07,+1.7,+1.7,5,4.2,+0.8,30,925,1110,83.3,18,50,36.0,720,799,90.1,187,261,71.6,192,869,25,4,6,15,95,21,5,5,0,0,34,29,1,44,40,27,0,0,0,26,36,72.2,27,3,66,123,53.7,57
296,Jordan Lefort,fr FRA,DEF,Amiens,25,1993,9.3,0,0,0,3,1,0,33.3,0.32,0.11,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1,1,0.3,+0.7,3,400,484,82.6,3,9,33.3,280,303,92.4,117,172,68.0,381,47,8,0,0,35,22,1,1,2,0,0,4,6,0,7,4,7,0,0,0,5,6,83.3,5,0,5,9,55.6,4
297,Nicolas Lemaître,fr FRA,GK,Reims,22,1997,1.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,22,27,81.5,0,0,0,18,18,100.0,4,9,44.4,15,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,,0
298,Donovan Léon,gf GUF,GK,Brest,26,1992,1.4,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,28,41,68.3,0,0,0,13,13,100.0,15,28,53.6,3,27,9,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,,0,0,0,0,,0
299,Aaron Leya Iseka,be BEL,FWD,Toulouse,21,1997,8.1,2,1,2,23,8,0,34.8,2.85,0.99,0.04,0.13,5.2,3.7,0.16,-3.2,-2.7,0,0.2,-0.2,4,134,170,78.8,6,10,60.0,115,142,81.0,13,18,72.2,17,127,0,0,0,1,11,2,0,2,0,0,18,9,6,3,5,1,1,0,0,5,11,45.5,7,0,5,6,83.3,1
300,Dimitri Liénard,fr FRA,MID,Strasbourg,31,1988,15.8,2,0,0,31,9,6,29.0,1.96,0.57,0.06,0.22,1.5,1.5,0.05,+0.5,+0.5,3,2.7,+0.3,30,774,997,77.6,10,22,45.5,490,543,90.2,274,432,63.4,827,130,44,1,62,8,85,23,9,3,0,0,15,7,2,120,26,17,0,1,0,15,25,60.0,16,0,40,67,59.7,27
301,Isaac Lihadji,fr FRA,DEF,Marseille,17,2002,0.3,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,12,16,75.0,0,2,0.0,10,12,83.3,2,2,100.0,11,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0.0,1
302,Lucas Lima,br BRA,FWD,Nantes,27,1991,3.0,0,0,0,2,1,1,50.0,0.67,0.33,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1,0,0.3,-0.3,5,121,180,67.2,1,8,12.5,98,115,85.2,22,57,38.6,151,7,8,1,14,15,12,4,2,0,0,0,6,6,0,32,4,1,0,0,0,2,3,66.7,2,1,5,7,71.4,2
303,Anthony Limbombe,be BEL,FWD,Nantes,25,1994,0.9,1,0,0,2,1,0,50.0,2.31,1.15,0.50,1.00,0.4,0.4,0.22,+0.6,+0.6,0,0.0,0.0,1,16,28,57.1,0,2,0.0,15,21,71.4,1,5,20.0,8,18,0,0,1,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,4,25.0,1,0,1,3,33.3,2
304,Gautier Lloris,fr FRA,DEF,Nice,24,1995,3.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,161,175,92.0,0,2,0.0,132,139,95.0,29,34,85.3,156,12,2,0,0,0,0,0,0,1,0,0,1,1,0,0,4,3,0,0,1,0,0,,0,0,5,7,71.4,2
305,Enzo Loiodice,fr FRA,MID,Dijon,18,2000,2.1,0,0,0,3,0,0,0.0,1.42,0.00,0.00,0,0.1,0.1,0.03,-0.1,-0.1,0,0.0,0.0,0,98,116,84.5,0,5,0.0,71,78,91.0,27,33,81.8,102,11,1,0,4,0,8,3,0,0,0,0,7,0,0,5,5,1,0,0,0,0,1,0.0,0,0,5,7,71.4,2
306,Anthony Lopes,pt POR,GK,Lyon,28,1990,24.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,623,745,83.6,3,3,100.0,343,344,99.7,277,398,69.6,423,160,43,0,0,1,2,0,0,1,0,0,0,5,0,0,0,1,0,0,1,0,0,,0,0,0,0,,0
307,Rony Lopes,pt POR,FWD,Monaco,23,1995,0.9,0,0,0,2,0,0,0.0,2.22,0.00,0.00,0,0.2,0.2,0.08,-0.2,-0.2,0,0.0,0.0,0,24,26,92.3,0,0,0,23,24,95.8,1,2,50.0,24,0,0,0,0,1,3,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,1,100.0,1,0,2,2,100.0,0
308,Maxime Lopez,fr FRA,MID,Marseille,21,1997,12.3,0,0,0,11,2,0,18.2,0.89,0.16,0.00,0.00,0.8,0.8,0.07,-0.8,-0.8,3,0.7,+2.3,17,771,880,87.6,19,36,52.8,659,719,91.7,93,125,74.4,79,782,11,4,9,8,86,5,1,2,0,0,9,5,1,24,10,8,0,0,0,15,29,51.7,18,2,13,39,33.3,26
309,Albert Lottin,fr FRA,MID,Bordeaux,17,2001,0.5,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,17,18,94.4,0,0,0,12,13,92.3,5,5,100.0,3,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,3,66.7,2,0,3,5,60.0,2
310,Imran Louza,fr FRA,MID,Nantes,20,1999,20.4,2,0,0,36,12,3,33.3,1.77,0.59,0.06,0.17,1.9,1.9,0.05,+0.1,+0.1,2,4.1,-2.1,33,801,1038,77.2,23,44,52.3,625,716,87.3,153,278,55.0,811,174,48,5,54,4,77,14,3,3,0,0,41,31,0,74,40,18,0,1,0,26,51,51.0,30,3,53,84,63.1,31
311,Jean Lucas,br BRA,MID,Lyon,21,1998,2.1,1,0,0,6,2,0,33.3,2.81,0.94,0.17,0.50,0.4,0.4,0.06,+0.6,+0.6,0,0.4,-0.4,2,128,147,87.1,4,7,57.1,103,113,91.2,21,27,77.8,20,119,3,0,0,1,5,0,0,3,0,0,7,5,0,4,9,3,0,0,0,6,9,66.7,6,0,14,23,60.9,9
312,Arnaud Lusamba,fr FRA,MID,Nice,22,1997,9.8,1,0,0,5,3,0,60.0,0.51,0.31,0.20,0.33,0.5,0.5,0.10,+0.5,+0.5,2,1.8,+0.2,17,328,384,85.4,12,19,63.2,259,288,89.9,57,77,74.0,59,304,14,4,9,4,22,5,0,1,0,0,9,20,1,12,16,5,0,0,0,20,28,71.4,20,0,24,41,58.5,17
313,Yann M'Vila,fr FRA,MID,Saint-Étienne,29,1990,19.6,0,0,0,9,3,0,33.3,0.46,0.15,0.00,0.00,0.5,0.5,0.05,-0.5,-0.5,2,1.0,+1.0,11,944,1086,86.9,11,20,55.0,655,732,89.5,278,334,83.2,90,920,21,4,0,2,97,3,0,1,0,0,12,14,0,2,19,43,0,1,0,6,7,85.7,6,0,31,59,52.5,28
314,Yvann Macon,GPE,DEF,Saint-Étienne,20,1998,1.1,0,0,0,1,1,0,100.0,0.94,0.94,0.00,0.00,0.0,0.0,0.02,0.0,0.0,0,0.0,0.0,0,46,63,73.0,0,2,0.0,37,49,75.5,9,12,75.0,5,34,0,0,0,19,0,0,0,1,0,0,1,3,0,3,2,3,0,0,0,1,1,100.0,1,0,4,5,80.0,1
315,Hugo Magnetti,fr FRA,MID,Brest,21,1998,2.5,0,0,0,5,1,0,20.0,2.03,0.41,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,0,0.2,-0.2,4,117,148,79.1,1,4,25.0,87,102,85.3,29,42,69.0,19,118,0,1,0,1,15,0,0,0,0,0,2,6,0,6,11,7,0,0,0,3,4,75.0,3,0,14,18,77.8,4
316,Thiago Maia,br BRA,MID,Lille,22,1997,0.5,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,31,39,79.5,1,1,100.0,26,28,92.9,4,10,40.0,28,6,1,0,0,2,4,1,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,,0,0,4,5,80.0,1
317,Habib Maïga,ci CIV,MID,Metz,23,1996,23.3,1,0,0,28,8,0,28.6,1.20,0.34,0.04,0.13,1.5,1.5,0.06,-0.5,-0.5,1,0.6,+0.4,9,985,1214,81.1,12,43,27.9,748,840,89.0,225,331,68.0,104,1037,15,2,0,4,92,8,2,7,0,0,45,21,1,48,64,28,0,0,0,30,41,73.2,30,0,91,140,65.0,49
318,Mike Maignan,fr FRA,GK,Lille,23,1995,26.0,0,0,0,1,0,0,0.0,0.04,0.00,0.00,0,0.0,0.0,0.03,0.0,0.0,0,0.0,0.0,1,458,703,65.1,3,4,75.0,207,208,99.5,248,491,50.5,50,494,72,0,0,0,12,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,,0,0,0,0,,0
319,Josh Maja,ng NGA,FWD,Bordeaux,20,1998,6.8,5,0,0,15,10,0,66.7,2.19,1.46,0.33,0.50,2.5,2.5,0.17,+2.5,+2.5,2,1.2,+0.8,7,150,178,84.3,10,18,55.6,131,148,88.5,9,12,75.0,26,135,1,2,0,1,6,1,0,0,0,0,16,10,4,0,5,1,0,0,0,15,22,68.2,17,1,6,15,40.0,9
320,Abdul Majeed Waris,gh GHA,FWD,Strasbourg,27,1991,3.9,2,0,0,6,2,0,33.3,1.56,0.52,0.33,1.00,1.6,1.6,0.26,+0.4,+0.4,1,0.6,+0.4,2,56,79,70.9,4,8,50.0,49,63,77.8,3,8,37.5,6,68,0,1,0,1,0,4,0,0,0,0,7,18,0,7,6,4,0,0,0,7,17,41.2,10,0,9,13,69.2,4
321,Jean-Victor Makengo,fr FRA,MID,Toulouse,21,1998,10.0,2,0,0,14,4,0,28.6,1.40,0.40,0.14,0.50,0.8,0.8,0.05,+1.2,+1.2,0,1.4,-1.4,12,328,396,82.8,12,20,60.0,279,319,87.5,37,57,64.9,306,77,1,2,1,1,43,4,1,1,0,0,17,14,1,8,9,2,0,0,0,15,29,51.7,18,0,15,26,57.7,11
322,Hianga Mananga Mbock,fr FRA,MID,Brest,19,1999,1.6,1,0,0,4,1,0,25.0,2.57,0.64,0.25,1.00,0.2,0.2,0.04,+0.8,+0.8,0,0.1,-0.1,1,73,82,89.0,1,3,33.3,47,52,90.4,25,27,92.6,7,63,1,1,0,0,2,0,0,0,0,0,1,3,0,0,0,3,0,0,0,2,2,100.0,2,0,0,0,,0
323,Vincent Manceau,fr FRA,DEF,Angers,30,1989,22.0,0,0,0,8,2,0,25.0,0.36,0.09,0.00,0.00,0.3,0.3,0.03,-0.3,-0.3,0,1.1,-1.1,14,1063,1317,80.7,5,33,15.2,875,969,90.3,183,315,58.1,113,914,13,2,0,239,75,14,4,1,0,0,14,11,1,42,29,21,0,0,0,6,14,42.9,6,1,49,78,62.8,29
324,Steve Mandanda,fr FRA,GK,Marseille,34,1985,25.3,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,552,808,68.3,0,1,0.0,275,275,100.0,277,532,52.1,94,537,74,0,0,0,6,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,2,50.0,1,0,0,4,0.0,4
325,Reinildo Mandava,mz MOZ,DEF,Lille,25,1994,12.3,0,0,0,2,0,0,0.0,0.16,0.00,0.00,0,0.1,0.1,0.03,-0.1,-0.1,0,0.4,-0.4,4,521,654,79.7,14,37,37.8,436,501,87.0,71,116,61.2,453,66,12,0,0,99,34,7,3,4,0,0,21,21,1,41,32,20,0,1,1,11,19,57.9,12,0,48,65,73.8,17
326,Thomas Mangani,fr FRA,MID,Angers,32,1987,20.5,2,0,0,29,6,4,20.7,1.42,0.29,0.07,0.33,1.6,1.6,0.06,+0.4,+0.4,2,3.8,-1.8,52,1043,1327,78.6,17,38,44.7,798,900,88.7,228,389,58.6,1071,198,74,2,71,9,93,34,13,0,0,0,24,21,1,135,23,11,0,0,0,23,28,82.1,24,1,34,81,42.0,47
327,Myziane Maolida,fr FRA,FWD,Nice,20,1999,7.3,1,0,0,16,5,0,31.3,2.20,0.69,0.06,0.20,2.0,2.0,0.12,-1.0,-1.0,2,1.6,+0.4,12,251,310,81.0,6,13,46.2,230,272,84.6,15,25,60.0,42,257,0,0,0,3,14,11,3,0,0,0,10,6,1,9,10,3,0,1,0,12,22,54.5,14,0,14,25,56.0,11
328,Faitout Maouassa,fr FRA,DEF,Rennes,21,1998,18.2,1,0,0,8,4,0,50.0,0.44,0.22,0.13,0.25,0.3,0.3,0.04,+0.7,+0.7,1,0.9,+0.1,13,661,875,75.5,6,29,20.7,536,623,86.0,119,223,53.4,581,77,14,0,0,180,47,10,10,3,0,0,14,29,1,60,29,23,0,1,0,24,46,52.2,26,1,57,67,85.1,10
329,Fernando Marçal,br BRA,DEF,Lyon,30,1989,8.2,0,0,0,5,1,0,20.0,0.61,0.12,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1,1,1.1,-0.1,11,538,648,83.0,3,16,18.8,408,458,89.1,127,174,73.0,493,50,12,1,0,58,49,11,6,1,2,0,16,8,0,23,16,20,0,0,2,7,11,63.6,7,0,30,40,75.0,10
330,Marcelo,br BRA,DEF,Lyon,32,1987,14.7,0,0,0,7,2,0,28.6,0.48,0.14,0.00,0.00,0.5,0.5,0.07,-0.5,-0.5,0,0.0,0.0,1,873,1005,86.9,6,13,46.2,528,565,93.5,339,427,79.4,31,883,36,0,0,2,66,0,0,4,0,0,10,7,0,1,14,17,0,0,0,0,1,0.0,0,0,29,36,80.6,7
331,Jordan Marié,fr FRA,MID,Dijon,27,1991,2.2,0,0,0,1,0,0,0.0,0.46,0.00,0.00,0,0.0,0.0,0.03,0.0,0.0,0,0.4,-0.4,2,84,111,75.7,2,7,28.6,56,66,84.8,26,38,68.4,15,87,3,1,2,1,7,1,0,0,0,0,7,2,0,4,5,4,0,0,0,3,4,75.0,3,0,6,10,60.0,4
332,Guillermo Maripán,cl CHI,DEF,Monaco,25,1994,18.5,2,0,0,10,4,0,40.0,0.54,0.22,0.20,0.50,1.6,1.6,0.16,+0.4,+0.4,0,0.1,-0.1,1,870,985,88.3,5,9,55.6,535,581,92.1,330,395,83.5,64,872,36,0,0,2,60,3,2,2,0,0,13,5,1,4,27,23,0,1,0,3,6,50.0,4,1,49,71,69.0,22
333,Marquinhos,br BRA,MID,Paris S-G,25,1994,15.4,3,0,0,9,3,0,33.3,0.59,0.20,0.33,1.00,1.7,1.7,0.19,+1.3,+1.3,0,0.6,-0.6,3,1119,1197,93.5,19,27,70.4,823,855,96.3,277,315,87.9,202,939,18,3,0,7,101,13,0,1,0,0,19,6,0,3,25,23,0,0,0,9,10,90.0,10,0,42,62,67.7,20
334,Jonas Martin,fr FRA,MID,Rennes,29,1990,1.2,0,0,0,1,0,0,0.0,0.81,0.00,0.00,0,0.1,0.1,0.06,-0.1,-0.1,0,0.2,-0.2,1,69,79,87.3,2,2,100.0,54,59,91.5,13,18,72.2,10,62,5,1,0,0,7,0,0,1,0,0,3,1,0,1,3,0,0,0,0,0,0,,0,0,5,6,83.3,1
335,Jonas Martin,fr FRA,MID,Strasbourg,29,1990,2.8,0,0,1,0,0,0,0,0.00,0.00,0,0,0.8,0.0,0,-0.8,0.0,0,0.2,-0.2,3,170,192,88.5,5,8,62.5,121,131,92.4,44,53,83.0,28,157,18,0,2,1,12,2,0,0,0,0,4,4,0,7,7,1,0,0,0,3,3,100.0,3,0,8,12,66.7,4
336,Pablo Martinez,fr FRA,DEF,Nîmes,30,1989,25.0,2,0,0,12,3,0,25.0,0.48,0.12,0.17,0.67,1.0,1.0,0.08,+1.0,+1.0,1,0.6,+0.4,3,800,995,80.4,5,12,41.7,488,535,91.2,307,448,68.5,764,139,54,0,0,2,68,2,0,5,1,1,25,31,0,0,28,57,0,2,0,6,7,85.7,6,0,42,70,60.0,28
337,Gelson Martins,pt POR,DEF,Monaco,24,1995,18.7,4,0,0,28,11,0,39.3,1.50,0.59,0.14,0.36,5.5,5.5,0.20,-1.5,-1.5,1,4.3,-3.3,28,624,784,79.6,13,47,27.7,544,623,87.3,67,114,58.8,57,627,7,1,0,69,28,8,2,3,1,0,14,22,2,64,20,18,0,1,0,61,104,58.7,64,3,31,65,47.7,34
338,Stephy Mavididi,eng ENG,FWD,Dijon,21,1998,14.0,5,0,0,24,11,0,45.8,1.72,0.79,0.21,0.45,3.1,3.1,0.13,+1.9,+1.9,1,0.9,+0.1,6,268,327,82.0,17,33,51.5,232,264,87.9,19,30,63.3,49,264,0,1,0,0,14,9,2,0,0,0,20,21,0,13,13,5,0,0,0,39,73,53.4,46,2,21,33,63.6,12
339,Eric Maxim Choupo-Moting,cm CMR,FWD,Paris S-G,30,1989,5.0,3,0,0,18,7,0,38.9,3.59,1.40,0.17,0.43,2.6,2.6,0.15,+0.4,+0.4,1,0.6,+0.4,4,92,112,82.1,4,9,44.4,81,93,87.1,7,10,70.0,18,90,0,3,0,0,1,7,0,0,0,0,2,6,5,2,4,1,0,0,0,12,18,66.7,13,2,10,13,76.9,3
340,Kévin Mayi,fr FRA,FWD,Brest,26,1993,0.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,,0
341,Kylian Mbappé,fr FRA,FWD,Paris S-G,20,1998,15.8,16,0,0,79,45,0,57.0,4.99,2.84,0.20,0.36,14.9,14.9,0.19,+1.1,+1.1,4,6.7,-2.7,32,476,623,76.4,13,38,34.2,408,510,80.0,55,75,73.3,117,488,2,4,12,6,20,22,6,0,0,0,10,22,17,37,0,2,1,0,0,52,105,49.5,63,3,1,9,11.1,8
342,Loïc Mbe Soh,fr FRA,DEF,Paris S-G,18,2001,0.7,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,71,77,92.2,0,0,0,61,65,93.8,10,12,83.3,5,66,0,0,0,4,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0.0,0,0,2,2,100.0,0
343,Isaac Mbenza,be BEL,FWD,Amiens,23,1996,0.1,0,0,0,1,0,1,0.0,15.00,0.00,0.00,0,0.1,0.1,0.07,-0.1,-0.1,0,0.0,0.0,0,2,3,66.7,0,1,0.0,1,1,100.0,1,1,100.0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
344,Nathanael Mbuku,fr FRA,MID,Reims,17,2002,4.3,0,0,0,8,1,0,12.5,1.85,0.23,0.00,0.00,0.4,0.4,0.05,-0.4,-0.4,0,0.1,-0.1,2,83,119,69.7,4,11,36.4,67,90,74.4,12,18,66.7,95,8,2,1,3,3,10,2,0,0,0,0,7,18,1,8,5,2,0,0,0,14,24,58.3,14,0,7,10,70.0,3
345,Farid El Melali,dz ALG,MID,Angers,22,1997,3.3,3,0,0,6,5,0,83.3,1.81,1.51,0.50,0.60,0.7,0.7,0.12,+2.3,+2.3,0,0.1,-0.1,1,64,94,68.1,3,12,25.0,50,66,75.8,11,16,68.8,3,85,0,0,0,0,1,1,0,0,0,0,7,7,0,7,6,3,0,0,0,9,22,40.9,10,0,13,26,50.0,13
