Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
31,Philipp Bargfrede,de GER,MID,Werder Bremen,30,1989,4.0,0,0,0,3,0,0,0.0,0.76,0.00,0.00,0,0.1,0.1,0.03,-0.1,-0.1,0,0.0,0.0,1,138,180,76.7,1,3,33.3,106,130,81.5,31,47,66.0,31,132,3,1,0,0,24,2,0
32,Aymen Barkok,de GER,FWD,Düsseldorf,21,1998,0.9,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,17,29,58.6,0,1,0.0,13,21,61.9,4,7,57.1,4,21,1,0,0,0,3,0,0
33,Leandro Barreiro Martins,lu LUX,MID,Mainz 05,19,2000,4.2,0,0,0,5,1,0,20.0,1.20,0.24,0.00,0.00,0.4,0.4,0.07,-0.4,-0.4,0,0.1,-0.1,1,84,111,75.7,1,8,12.5,68,82,82.9,15,21,71.4,22,74,0,0,0,1,7,0,0
34,Fin Bartels,de GER,FWD,Werder Bremen,32,1987,1.3,0,0,0,3,2,0,66.7,2.37,1.58,0.00,0.00,0.3,0.3,0.09,-0.3,-0.3,0,0.2,-0.2,2,46,60,76.7,1,4,25.0,38,44,86.4,7,12,58.3,1,49,0,0,0,2,1,1,0
35,Oliver Baumann,de GER,GK,Hoffenheim,29,1990,19.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,699,891,78.5,9,9,100.0,434,436,99.5,256,446,57.4,157,587,77,0,0,0,8,0,0
36,Julian Baumgartlinger,at AUT,MID,Leverkusen,31,1988,13.5,1,0,0,13,4,0,30.8,0.96,0.30,0.08,0.25,1.1,1.1,0.08,-0.1,-0.1,1,0.9,+0.1,9,716,794,90.2,20,31,64.5,590,635,92.9,106,128,82.8,167,574,27,1,2,3,46,6,0
37,Christoph Baumgartner,at AUT,FWD,Hoffenheim,19,1999,8.8,3,0,0,36,14,0,38.9,4.10,1.59,0.08,0.21,4.4,4.4,0.12,-1.4,-1.4,1,1.3,-0.3,12,180,264,68.2,6,20,30.0,143,191,74.9,31,53,58.5,26,201,1,2,6,4,11,6,0
38,Noah Joel Sarenren Bazee,ng NGA,MID,Augsburg,22,1996,0.2,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,4,6,66.7,2,3,66.7,1,2,50.0,1,1,100.0,1,5,0,0,0,0,0,0,0
39,Ihlas Bebou,tg TOG,FWD,Hoffenheim,25,1994,16.0,3,0,0,23,12,0,52.2,1.44,0.75,0.13,0.25,2.4,2.4,0.10,+0.6,+0.6,0,2.5,-2.5,25,324,478,67.8,13,42,31.0,273,360,75.8,38,76,50.0,27,373,1,3,0,11,26,12,2
40,Sheraldo Becker,nl NED,MID,Union Berlin,24,1995,5.6,0,0,0,7,4,0,57.1,1.25,0.71,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,2,0.8,+1.2,7,76,125,60.8,4,10,40.0,54,83,65.1,18,32,56.3,21,89,0,0,0,1,2,3,2
41,Timo Becker,de GER,DEF,Schalke 04,22,1997,0.9,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,28,33,84.8,1,2,50.0,22,25,88.0,5,6,83.3,1,23,0,0,0,8,5,1,0
42,Maximilian Beier,de GER,MID,Hoffenheim,16,2002,0.1,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1,4,25.0,0,2,0.0,1,1,100.0,0,1,0.0,0,3,0,0,0,0,0,0,0
43,Ishak Belfodil,dz ALG,FWD,Hoffenheim,27,1992,3.0,0,0,0,10,2,0,20.0,3.35,0.67,0.00,0.00,1.3,1.3,0.13,-1.3,-1.3,0,0.2,-0.2,5,49,65,75.4,2,7,28.6,41,48,85.4,6,10,60.0,7,49,0,0,0,0,4,2,0
