Rk,Player,Position,Squad,90s,Assists,xA,Assists-xA,KeyPasses,Total Completed Passes,Total Attempted Passes,Total Pass Completion %,Short Completed Passes,Short Attempted Passes,Short Pass Completion %,Medium Completed Passes,Medium Attempted Passes,Medium Pass Completion %,Long Completed Passes,Long Attempted Passes,Long Pass Completion %,Through Ball Passes,Corner Kicks,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box,Goals,PK,PK Attempts,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG 
544,Marcel Schmelzer,FWD,de Dortmund,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
545,Siebe Schrijvers,MID,be Club Brugge,0.8,0,0.1,-0.1,1,27,43,62.8,0,2,0.0,24,34,70.6,3,7,42.9,0,1,0,2,0,0,0,0,2,0,0,0.0,2.37,0.00,0.00,0,0.2,0.2,0.12,-0.2,-0.2
546,Nico Schulz,DEF,de Dortmund,2.5,0,0.0,0.0,0,121,139,87.1,2,7,28.6,107,114,93.9,12,18,66.7,0,0,6,3,1,0,0,0,4,1,0,25.0,1.60,0.40,0.00,0.00,0.7,0.7,0.18,-0.7,-0.7
547,Perr Schuurs,DEF,nl Ajax,1.2,0,0.0,0.0,0,59,67,88.1,0,1,0.0,34,37,91.9,25,29,86.2,0,0,1,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
548,Haris Seferović,FWD,pt Benfica,2.3,0,0.1,-0.1,3,39,52,75.0,2,4,50.0,34,43,79.1,3,5,60.0,0,0,0,1,0,2,0,0,8,4,0,50.0,3.46,1.73,0.25,0.50,1.3,1.3,0.16,+0.7,+0.7
549,Nélson Semedo,DEF,es Barcelona,4.0,0,0.5,-0.5,3,213,240,88.8,5,9,55.6,179,196,91.3,29,35,82.9,2,0,17,1,0,0,0,0,3,1,0,33.3,0.75,0.25,0.00,0.00,0.4,0.4,0.12,-0.4,-0.4
550,Rúben Semedo,DEF,gr Olympiacos,6.0,0,0.0,0.0,0,211,242,87.2,1,3,33.3,132,140,94.3,78,99,78.8,0,0,6,1,0,2,0,0,5,2,0,40.0,0.83,0.33,0.40,1.00,1.1,1.1,0.22,+0.9,+0.9
551,Stefano Sensi,MID,it Inter,2.1,1,1.0,0.0,7,98,130,75.4,1,1,100.0,76,94,80.9,21,35,60.0,1,5,9,2,0,0,0,0,5,1,1,20.0,2.36,0.47,0.00,0.00,0.3,0.3,0.07,-0.3,-0.3
552,Jean Seri,MID,tr Galatasaray,5.3,0,0.4,-0.4,9,285,335,85.1,3,14,21.4,211,228,92.5,71,93,76.3,1,14,21,2,0,0,0,0,2,1,1,50.0,0.38,0.19,0.00,0.00,0.1,0.1,0.06,-0.1,-0.1
553,Ryan Sessegnon,FWD,eng Tottenham,1.2,1,0.4,+0.6,3,24,27,88.9,0,0,0,20,23,87.0,4,4,100.0,0,0,2,4,3,1,0,0,2,2,0,100.0,1.71,1.71,0.50,0.50,0.3,0.3,0.17,+0.7,+0.7
